,spread,o/u
commanders,-7.0,38.5
cardinals,7.0,38.5
falcons,-3.5,39.5
panthers,3.5,39.5
ravens,-10.0,43.5
texans,10.0,43.5
browns,1.5,47.5
bengals,-1.5,47.5
colts,5.0,46.5
jaguars,-5.0,46.5
vikings,-5.5,45.5
buccaneers,5.5,45.5
saints,3.0,41.5
titans,3.0,41.5
steelers,2.5,41.5
49ers,-2.5,41.5
bears,-1.5,41.5
packers,1.5,41.5
broncos,-3.5,44.0
raiders,3.5,44.0
chargers,3.0,50.5
dolphins,3.0,50.5
seahawks,-4.5,46.5
rams,-4.5,46.5
patriots,-4.0,45.0
eagles,-4.0,45.0
