,spread,o/u
falcons,3.0,49.5
chargers,-3.0,49.5
jets,11.5,45.5
bills,-11.5,45.5
bengals,-7.0,42.5
panthers,7.0,42.5
bears,4.5,45.5
dolphins,-4.5,45.5
lions,3.5,49.5
packers,-3.5,49.5
patriots,-4.5,40.5
colts,4.5,40.5
jaguars,1.5,47.5
raiders,-1.5,47.5
commanders,3.0,43.5
vikings,-3.0,43.5
cardinals,-1.5,49.5
seahawks,1.5,49.5
buccaneers,-3.0,42.5
rams,3.0,42.5
chiefs,-11.5,44.5
titans,11.5,44.5
saints,2.5,47.5
ravens,-2.5,47.5
